id,path,method,language_hint,file,line,auth_required,framework,param_count,parameters
E001,/api/stripe,GET,,Cart.jsx,,unknown,url_pattern,0,
E002,/api/hello,GET,,hello.js,,unknown,nextjs,0,
E003,/api/auth/login,POST,,fallback,,likely,ecommerce_fallback,0,
E004,/api/auth/register,POST,,fallback,,likely,ecommerce_fallback,0,
E005,/api/auth/logout,POST,,fallback,,likely,ecommerce_fallback,0,
E006,/api/products,GET,,fallback,,unknown,ecommerce_fallback,0,
E007,/api/products/search,GET,,fallback,,unknown,ecommerce_fallback,0,
E008,/api/cart,GET,,fallback,,unknown,ecommerce_fallback,0,
E009,/api/cart/add,POST,,fallback,,unknown,ecommerce_fallback,0,
E010,/api/orders,POST,,fallback,,likely,ecommerce_fallback,0,
E011,/api/payment/process,POST,,fallback,,likely,ecommerce_fallback,0,
E012,/api/user/profile,GET,,fallback,,likely,ecommerce_fallback,0,
E013,/admin/dashboard,GET,,fallback,,likely,ecommerce_fallback,0,
E014,/admin/products,GET,,fallback,,likely,ecommerce_fallback,0,
